block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,22,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.475110547227644), np.float64(-0.475110547227644)]",0,1,[ 0.32211238 -0.67788762],[np.float64(-0.524889452772356)],22,-0.475110547227644,0.3221123808935429,-0.677887619106457
0,22,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.46999767272100945), np.float64(-0.5300023272789905)]",0,1,[-0.21054559 -0.78945441],[np.float64(0.5300023272789905)],22,-0.030002327278990548,-0.2105455883386936,-0.7894544116613064
0,23,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.394798045085648), np.float64(-0.605201954914352)]",0,1,[ 0.22136207 -0.77863793],[np.float64(0.605201954914352)],23,-0.10520195491435202,0.22136207070439248,-0.7786379292956075
0,23,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]",0,"[np.float64(-0.399092859671221), np.float64(0.600907140328779)]",0,1,[-0.15905956 -0.84094044],[np.float64(-0.600907140328779)],23,0.10090714032877901,-0.15905955640649438,-0.8409404435935055
0,23,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.5736213167944542), np.float64(-0.5736213167944542)]",0,1,[-0.46362789 -0.53637211],[np.float64(0.5736213167944542)],23,-0.5736213167944542,-0.46362789364678975,-0.5363721063532102
0,23,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.25671036166188466), np.float64(-0.7432896383381153)]",0,1,[ 0.40151171 -0.59848829],[np.float64(-0.25671036166188466)],23,-0.24328963833811534,0.4015117070162619,-0.5984882929837381
0,24,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.7843632962040169), np.float64(-0.7843632962040169)]",0,1,[ 0.47396116 -0.52603884],[np.float64(-0.2156367037959831)],24,-0.7843632962040169,0.4739611630473902,-0.5260388369526097
0,24,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.6683696421280557), np.float64(-0.6683696421280557)]",0,1,[ 0.4082895 -0.5917105],[np.float64(0.6683696421280557)],24,-0.6683696421280557,0.40828950253784047,-0.5917104974621595
0,24,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",1,"[np.float64(-0.4818419061073415), np.float64(-0.4818419061073415)]",0,0,[-0.61806273 -0.38193727],[np.float64(0.4818419061073415)],24,-0.4818419061073415,-0.6180627321116036,-0.3819372678883965
0,24,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.6647619978761744), np.float64(0.6647619978761744)]",0,1,[-0.42683398 -0.57316602],[np.float64(-0.6647619978761744)],24,0.6647619978761744,-0.42683398213256557,-0.5731660178674344
