block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,41992,State AE,AE,"[np.float64(0.9931542353555611), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.41976336940106024), np.float64(0.3038483419886236)]"
0,41993,State EF,EF,"[np.float64(-0.3146248723383743), np.float64(-0.9901)]",0,"[np.float64(0.3038483419886236), np.float64(-0.6961516580113765)]"
0,41994,State AG,AG,"[np.float64(0.9931542353555611), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.41976336940106024), np.float64(0.05586831954970961)]"
0,41995,State BF,BF,"[np.float64(0.9968995239), np.float64(-0.9901)]",0,"[np.float64(-0.5802366305989398), np.float64(-0.6961516580113765)]"
0,41996,State BE,BE,"[np.float64(0.9968995239), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.5802366305989398), np.float64(0.3038483419886236)]"
0,41997,State DE,DE,"[np.float64(9.900000099683181e-09), np.float64(-0.3146248723383743)]",1,"[np.float64(-0.8962867945895744), np.float64(0.3038483419886236)]"
0,41998,State GH,GH,"[np.float64(-0.23713676268956843), np.float64(-0.009900999999999938)]",0,"[np.float64(0.05586831954970961), np.float64(-0.9441316804502904)]"
0,41999,State DF,DF,"[np.float64(9.900000099683181e-09), np.float64(-0.9901)]",0,"[np.float64(-0.8962867945895744), np.float64(-0.6961516580113765)]"
0,42000,State EN,EN,"[np.float64(-0.3146248723383743), np.float64(0.96)]",1,"[np.float64(0.3038483419886236), np.float64(0.96)]"
0,42001,State GN,GN,"[np.float64(-0.23713676268956843), np.float64(0.96)]",1,"[np.float64(0.05586831954970961), np.float64(0.96)]"
0,42002,State BE,BE,"[np.float64(0.9968995239), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.5802366305989398), np.float64(0.3038483419886236)]"
0,42003,State DN,DN,"[np.float64(9.900000099683181e-09), np.float64(0.96)]",1,"[np.float64(-0.8962867945895744), np.float64(0.96)]"
0,42004,State HN,HN,"[np.float64(-0.009900999999999938), np.float64(0.96)]",1,"[np.float64(-0.9441316804502904), np.float64(0.96)]"
0,42005,State AE,AE,"[np.float64(0.9931542353555611), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.41976336940106024), np.float64(0.3038483419886236)]"
0,42006,State CN,CN,"[np.float64(0.9514038182707214), np.float64(0.96)]",1,"[np.float64(0.10371320541042559), np.float64(0.96)]"
0,42007,State AF,AF,"[np.float64(0.9931542353555611), np.float64(-0.9901)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.6961516580113765)]"
0,42008,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,42009,State AB,AB,"[np.float64(0.9931542353555611), np.float64(0.9968995239)]",1,"[np.float64(-0.41976336940106024), np.float64(-0.5802366305989398)]"
0,42010,State BF,BF,"[np.float64(0.9968995239), np.float64(-0.9901)]",0,"[np.float64(-0.5802366305989398), np.float64(-0.6961516580113765)]"
0,42011,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,42012,State CF,CF,"[np.float64(0.9514038182707214), np.float64(-0.9901)]",0,"[np.float64(0.10371320541042559), np.float64(-0.6961516580113765)]"
0,42013,State GN,GN,"[np.float64(-0.23713676268956843), np.float64(0.96)]",1,"[np.float64(0.05586831954970961), np.float64(0.96)]"
0,42014,State GN,GN,"[np.float64(-0.23713676268956843), np.float64(0.96)]",1,"[np.float64(0.05586831954970961), np.float64(0.96)]"
0,42015,State DF,DF,"[np.float64(9.900000099683181e-09), np.float64(-0.9901)]",0,"[np.float64(-0.8962867945895744), np.float64(-0.6961516580113765)]"
0,42016,State AE,AE,"[np.float64(0.9931542353555611), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.41976336940106024), np.float64(0.3038483419886236)]"
0,42017,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,42018,State BF,BF,"[np.float64(0.9968995239), np.float64(-0.9901)]",0,"[np.float64(-0.5802366305989398), np.float64(-0.6961516580113765)]"
