block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,11,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.052090127395378855), np.float64(-0.042986627188910914)]",1,"[np.float64(0.5238676418226825), np.float64(-0.3810556035930277)]",0,0,[-0.57595777],[0.47473606],11,0.07140601911482741,0.052090127395378855,-0.042986627188910914
0,11,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.37498489270855273), np.float64(0.35709674384550605)]",1,"[np.float64(0.2950359449715344), np.float64(-0.4370456915825244)]",0,0,[-0.92005105],[-0.49968092],11,-0.07100487330549499,-0.37498489270855273,0.35709674384550605
0,11,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.5138810462427155), np.float64(-0.4186971850627418)]",0,"[np.float64(-0.011885474163106147), np.float64(-0.0793072428576489)]",0,1,[0.49800443],[0.01247233],11,-0.04559635851037752,0.5138810462427155,-0.4186971850627418
0,11,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.48370107866754253), np.float64(-0.41272704921383724)]",0,"[np.float64(0.01834430569737422), np.float64(-0.08522756642124601)]",0,1,[0.49795462],[0.01278365],11,-0.0334416303619359,0.48370107866754253,-0.41272704921383724
0,12,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5124547893431427), np.float64(-0.4845221966345904)]",0,"[np.float64(-0.012135497810405238), np.float64(-0.015158511832672139)]",0,1,[0.49968071],[0.00199557],12,-0.013647004821538689,0.5124547893431427,-0.4845221966345904
0,12,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4859023953512274), np.float64(-0.48346592934347143)]",0,"[np.float64(0.014424866147159265), np.float64(-0.016206809158141877)]",0,1,[0.49967274],[0.00204538],12,-0.0008909715054913059,0.4859023953512274,-0.48346592934347143
0,12,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.48690027010820536), np.float64(-0.08871329962007424)]",0,"[np.float64(0.025252972966684495), np.float64(-0.3991334573050359)]",0,1,[-0.51215324],[0.07595777],12,-0.1869402421691757,0.48690027010820536,-0.08871329962007424
0,12,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.1301050583821792), np.float64(0.3046512608556031)]",1,"[np.float64(0.11731322674425623), np.float64(-0.3174430924935261)]",0,0,[-0.98720817],[-0.07994895],12,-0.10006493287463493,-0.1301050583821792,0.3046512608556031
0,13,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.48763337928888656), np.float64(-0.4969175809447292)]",0,"[np.float64(0.012418982550855329), np.float64(-0.003030057215528903)]",0,1,[0.49994764],[0.00032726],13,0.004694462667663213,0.48763337928888656,-0.4969175809447292
0,13,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.5109985296058941), np.float64(-0.4971037614557083)]",0,"[np.float64(-1.010947442960656), np.float64(0.9971548481009462)]",0,1,[0.49994891],[0.00031929],13,-0.00689629742985487,0.5109985296058941,-0.4971037614557083
