block_number,trial_number,state_id,stim_id,action,w_values
0,62340,State DH,DH,1,"[np.float64(-0.6984500499132545), np.float64(-0.8457265863570459)]"
0,62341,State BE,BE,1,"[np.float64(-0.6418865530559043), np.float64(0.03263733151954127)]"
0,62342,State EF,EF,0,"[np.float64(0.03263733151954127), np.float64(-0.9673626684804587)]"
0,62343,State CF,CF,0,"[np.float64(0.3015499500867455), np.float64(-0.9673626684804587)]"
0,62344,State CG,CG,0,"[np.float64(0.3015499500867455), np.float64(-0.15427341364295402)]"
0,62345,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62346,State DF,DF,1,"[np.float64(-0.6984500499132545), np.float64(-0.9673626684804587)]"
0,62347,State AG,AG,0,"[np.float64(0.35811344694409575), np.float64(-0.15427341364295402)]"
0,62348,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62349,State GH,GH,0,"[np.float64(-0.15427341364295402), np.float64(-0.8457265863570459)]"
0,62350,State DF,DF,0,"[np.float64(-0.6984500499132545), np.float64(-0.9673626684804587)]"
0,62351,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62352,State CF,CF,0,"[np.float64(0.3015499500867455), np.float64(-0.9673626684804587)]"
0,62353,State BN,BN,1,"[np.float64(-0.6418865530559043), np.float64(-0.03)]"
0,62354,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62355,State CG,CG,0,"[np.float64(0.3015499500867455), np.float64(-0.15427341364295402)]"
0,62356,State GF,GF,0,"[np.float64(-0.15427341364295402), np.float64(-0.9673626684804587)]"
0,62357,State EF,EF,0,"[np.float64(0.03263733151954127), np.float64(-0.9673626684804587)]"
0,62358,State DN,DN,1,"[np.float64(-0.6984500499132545), np.float64(-0.03)]"
0,62359,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62360,State CD,CD,0,"[np.float64(0.3015499500867455), np.float64(-0.6984500499132545)]"
0,62361,State AH,AH,0,"[np.float64(0.35811344694409575), np.float64(-0.8457265863570459)]"
0,62362,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62363,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62364,State BF,BF,0,"[np.float64(-0.6418865530559043), np.float64(-0.9673626684804587)]"
0,62365,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62366,State CG,CG,0,"[np.float64(0.3015499500867455), np.float64(-0.15427341364295402)]"
