block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,14,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(-0.046787935055690566), np.float64(-0.23129639476775524)]",0,"[np.float64(-0.4537070649394095), np.float64(0.7308013947726553)]",0,1,[-0.4999505],[-0.000495],14,0.1385471649166229,-0.046787935055690566,-0.23129639476775524
0,14,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.4885103638889784), np.float64(-0.2968259005480057)]",0,"[np.float64(0.011494585620921649), np.float64(-0.20316914994209428)]",0,1,[-0.50000049],[4.9495099e-06],14,-0.09583728216058632,0.4885103638889784,-0.2968259005480057
0,15,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.49333808984976546), np.float64(-0.3069843580451104)]",0,"[np.float64(0.006662405101224511), np.float64(-0.19301514700389966)]",0,1,[-0.50000005],[4.9495099e-07],15,-0.09317637095133757,0.49333808984976546,-0.3069843580451104
0,15,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.23734490233024255), np.float64(-0.19475632502912246)]",1,"[np.float64(0.7372954023307325), np.float64(-0.30529317497038755)]",0,0,[-0.49999505],[-4.94999995e-05],15,0.2160011136801725,-0.23734490233024255,-0.19475632502912246
0,15,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.01664462335805053), np.float64(-0.24794440062362852)]",0,"[np.float64(0.9783553717414545), np.float64(0.24294439572313353)]",0,1,[0.4505],[0.495],15,0.610649883732294,0.01664462335805053,-0.24794440062362852
0,16,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.42755387948946144), np.float64(-0.23579718083747184)]",0,"[np.float64(0.1219461200204891), np.float64(-0.21470281965257768)]",0,1,[0.49505],[0.0495],16,-0.04637834981604429,0.42755387948946144,-0.23579718083747184
0,16,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.49613629999227976), np.float64(-0.31663511539530537)]",0,"[np.float64(0.003863749502819258), np.float64(-0.18336483510959561)]",0,1,[-0.5],[4.9495099e-08],16,-0.08975054280338818,0.49613629999227976,-0.31663511539530537
0,15,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.07409593442941176), np.float64(-0.3453783781429828)]",0,"[np.float64(1.0641464343299167), np.float64(0.33542887804348775)]",0,1,[0.45099495],[0.4900505],15,0.6997876561867022,-0.07409593442941176,-0.3453783781429828
0,16,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.37284556798915325), np.float64(-0.3286069342408084)]",0,"[np.float64(0.17615948200089726), np.float64(-0.1223880157691411)]",0,1,[0.4950995],[0.04900505],16,0.02688573311587808,0.37284556798915325,-0.3286069342408084
0,16,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.20048013221370592), np.float64(-0.3229794585166852)]",0,"[np.float64(0.7004751822137549), np.float64(-0.17702549148326585)]",0,1,[-0.49999951],[-4.94999995e-06],16,0.26172484536524454,-0.20048013221370592,-0.3229794585166852
