block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,52212,State EF,EF,"[np.float64(-0.19168000118639866), np.float64(-0.46876311738506926)]",0,"[np.float64(0.17617274018176232), np.float64(-0.8238272598182378)]"
0,52213,State AF,AF,"[np.float64(0.7466441402796394), np.float64(-0.46876311738506926)]",0,"[np.float64(0.0990377091989641), np.float64(-0.8238272598182378)]"
0,52214,State DE,DE,"[np.float64(0.11138190449789284), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.943829336025952), np.float64(0.17617274018176232)]"
0,52215,State HN,HN,"[np.float64(-0.7719191873242413), np.float64(-1.0)]",0,"[np.float64(0.3427579729465432), np.float64(-1.0)]"
0,52216,State CN,CN,"[np.float64(0.7687773405972363), np.float64(-1.0)]",0,"[np.float64(0.056170663974048005), np.float64(-1.0)]"
0,52217,State CD,CD,"[np.float64(0.7687773405972363), np.float64(0.11138190449789284)]",0,"[np.float64(0.056170663974048005), np.float64(-0.943829336025952)]"
0,52218,State AH,AH,"[np.float64(0.7466441402796394), np.float64(-0.7719191873242413)]",0,"[np.float64(0.0990377091989641), np.float64(0.3427579729465432)]"
0,52219,State EN,EN,"[np.float64(-0.19168000118639866), np.float64(-1.0)]",0,"[np.float64(0.17617274018176232), np.float64(-1.0)]"
0,52220,State EF,EF,"[np.float64(-0.19168000118639866), np.float64(-0.46876311738506926)]",0,"[np.float64(0.17617274018176232), np.float64(-0.8238272598182378)]"
0,52221,State DN,DN,"[np.float64(0.11138190449789284), np.float64(-1.0)]",0,"[np.float64(-0.943829336025952), np.float64(-1.0)]"
0,52222,State HN,HN,"[np.float64(-0.7719191873242413), np.float64(-1.0)]",0,"[np.float64(0.3427579729465432), np.float64(-1.0)]"
0,52223,State AN,AN,"[np.float64(0.7466441402796394), np.float64(-1.0)]",0,"[np.float64(0.0990377091989641), np.float64(-1.0)]"
