block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,60648,State BE,BE,"[np.float64(0.0048760996606328905), np.float64(-0.004043940789108044)]",1,"[np.float64(-0.7352849831561158), np.float64(0.3848521695554318)]"
0,60649,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60650,State AE,AE,"[np.float64(0.8855927945442413), np.float64(-0.004043940789108044)]",0,"[np.float64(-0.2647150168438842), np.float64(0.3848521695554318)]"
0,60651,State CB,CB,"[np.float64(0.9999658335049741), np.float64(0.0048760996606328905)]",0,"[np.float64(0.5113695130327005), np.float64(-0.7352849831561158)]"
0,60652,State DF,DF,"[np.float64(0.0003115129438178146), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.6151478304445681)]"
0,60653,State CF,CF,"[np.float64(0.9999658335049741), np.float64(-0.9321015339295111)]",0,"[np.float64(0.5113695130327005), np.float64(-0.6151478304445681)]"
0,60654,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60655,State DH,DH,"[np.float64(0.0003115129438178146), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.29039806929636364)]"
0,60656,State GN,GN,"[np.float64(-1.526417481120984e-06), np.float64(0.42)]",1,"[np.float64(0.7096019307036363), np.float64(0.42)]"
0,60657,State GH,GH,"[np.float64(-1.526417481120984e-06), np.float64(-0.9997208490760702)]",0,"[np.float64(0.7096019307036363), np.float64(-0.29039806929636364)]"
0,60658,State EN,EN,"[np.float64(-0.004043940789108044), np.float64(0.42)]",1,"[np.float64(0.3848521695554318), np.float64(0.42)]"
0,60659,State AF,AF,"[np.float64(0.8855927945442413), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.6151478304445681)]"
0,60660,State AB,AB,"[np.float64(0.8855927945442413), np.float64(0.0048760996606328905)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.7352849831561158)]"
0,60661,State AB,AB,"[np.float64(0.8855927945442413), np.float64(0.0048760996606328905)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.7352849831561158)]"
0,60662,State EH,EH,"[np.float64(-0.004043940789108044), np.float64(-0.9997208490760702)]",0,"[np.float64(0.3848521695554318), np.float64(-0.29039806929636364)]"
0,60663,State AH,AH,"[np.float64(0.8855927945442413), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.29039806929636364)]"
0,60664,State EH,EH,"[np.float64(-0.004043940789108044), np.float64(-0.9997208490760702)]",0,"[np.float64(0.3848521695554318), np.float64(-0.29039806929636364)]"
0,60665,State FN,FN,"[np.float64(-0.9321015339295111), np.float64(0.42)]",1,"[np.float64(-0.6151478304445681), np.float64(0.42)]"
0,60666,State HN,HN,"[np.float64(-0.9997208490760702), np.float64(0.42)]",1,"[np.float64(-0.29039806929636364), np.float64(0.42)]"
0,60667,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60668,State CD,CD,"[np.float64(0.9999658335049741), np.float64(0.0003115129438178146)]",0,"[np.float64(0.5113695130327005), np.float64(-0.4886304869672995)]"
0,60669,State AH,AH,"[np.float64(0.8855927945442413), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.29039806929636364)]"
0,60670,State CG,CG,"[np.float64(0.9999658335049741), np.float64(-1.526417481120984e-06)]",0,"[np.float64(0.5113695130327005), np.float64(0.7096019307036363)]"
0,60671,State GH,GH,"[np.float64(-1.526417481120984e-06), np.float64(-0.9997208490760702)]",0,"[np.float64(0.7096019307036363), np.float64(-0.29039806929636364)]"
