block_number,trial_number,state_id,stim_id,action,w_values
0,84264,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84265,State EF,EF,0,"[np.float64(0.0897750389082461), np.float64(-0.9102249610917539)]"
0,84266,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84267,State BF,BF,0,"[np.float64(0.28546205312666184), np.float64(-0.9102249610917539)]"
0,84268,State HN,HN,1,"[np.float64(-0.9724730741062536), np.float64(-0.52)]"
0,84269,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84270,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84271,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84272,State CG,CG,0,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84273,State BF,BF,0,"[np.float64(0.28546205312666184), np.float64(-0.9102249610917539)]"
0,84274,State CH,CH,0,"[np.float64(0.029401739911131153), np.float64(-0.9724730741062536)]"
0,84275,State AH,AH,0,"[np.float64(-0.7145379468733382), np.float64(-0.9724730741062536)]"
0,84276,State AN,AN,1,"[np.float64(-0.7145379468733382), np.float64(-0.52)]"
0,84277,State BE,BE,0,"[np.float64(0.28546205312666184), np.float64(0.0897750389082461)]"
0,84278,State GH,GH,0,"[np.float64(0.02752692589374638), np.float64(-0.9724730741062536)]"
0,84279,State CE,CE,1,"[np.float64(0.029401739911131153), np.float64(0.0897750389082461)]"
0,84280,State DG,DG,1,"[np.float64(-0.9705982600888688), np.float64(0.02752692589374638)]"
0,84281,State CG,CG,0,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84282,State DE,DE,1,"[np.float64(-0.9705982600888688), np.float64(0.0897750389082461)]"
0,84283,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84284,State DF,DF,0,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
0,84285,State AG,AG,1,"[np.float64(-0.7145379468733382), np.float64(0.02752692589374638)]"
0,84286,State CF,CF,0,"[np.float64(0.029401739911131153), np.float64(-0.9102249610917539)]"
0,84287,State AG,AG,0,"[np.float64(-0.7145379468733382), np.float64(0.02752692589374638)]"
0,84288,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84289,State DF,DF,0,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
0,84290,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84291,State GF,GF,0,"[np.float64(0.02752692589374638), np.float64(-0.9102249610917539)]"
0,84292,State AF,AF,0,"[np.float64(-0.7145379468733382), np.float64(-0.9102249610917539)]"
0,84293,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84294,State AD,AD,0,"[np.float64(-0.7145379468733382), np.float64(-0.9705982600888688)]"
0,84295,State AE,AE,0,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84296,State BF,BF,0,"[np.float64(0.28546205312666184), np.float64(-0.9102249610917539)]"
0,84297,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84298,State CE,CE,1,"[np.float64(0.029401739911131153), np.float64(0.0897750389082461)]"
0,84299,State CN,CN,0,"[np.float64(0.029401739911131153), np.float64(-0.52)]"
0,84300,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84301,State HN,HN,0,"[np.float64(-0.9724730741062536), np.float64(-0.52)]"
0,84302,State AH,AH,0,"[np.float64(-0.7145379468733382), np.float64(-0.9724730741062536)]"
0,84303,State CB,CB,1,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84304,State AF,AF,1,"[np.float64(-0.7145379468733382), np.float64(-0.9102249610917539)]"
0,84305,State CG,CG,0,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84306,State AE,AE,1,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84307,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84308,State DE,DE,1,"[np.float64(-0.9705982600888688), np.float64(0.0897750389082461)]"
0,84309,State AE,AE,1,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84310,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84311,State AB,AB,1,"[np.float64(-0.7145379468733382), np.float64(0.28546205312666184)]"
0,84312,State BH,BH,0,"[np.float64(0.28546205312666184), np.float64(-0.9724730741062536)]"
0,84313,State CN,CN,0,"[np.float64(0.029401739911131153), np.float64(-0.52)]"
0,84314,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84315,State CN,CN,0,"[np.float64(0.029401739911131153), np.float64(-0.52)]"
0,84316,State DE,DE,1,"[np.float64(-0.9705982600888688), np.float64(0.0897750389082461)]"
0,84317,State CF,CF,0,"[np.float64(0.029401739911131153), np.float64(-0.9102249610917539)]"
0,84318,State HN,HN,0,"[np.float64(-0.9724730741062536), np.float64(-0.52)]"
0,84319,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84320,State CE,CE,0,"[np.float64(0.029401739911131153), np.float64(0.0897750389082461)]"
0,84321,State EH,EH,0,"[np.float64(0.0897750389082461), np.float64(-0.9724730741062536)]"
0,84322,State AF,AF,0,"[np.float64(-0.7145379468733382), np.float64(-0.9102249610917539)]"
0,84323,State DH,DH,1,"[np.float64(-0.9705982600888688), np.float64(-0.9724730741062536)]"
0,84324,State CG,CG,0,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84325,State AH,AH,0,"[np.float64(-0.7145379468733382), np.float64(-0.9724730741062536)]"
0,84326,State DF,DF,1,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
0,84327,State FN,FN,1,"[np.float64(-0.9102249610917539), np.float64(-0.52)]"
0,84328,State FN,FN,1,"[np.float64(-0.9102249610917539), np.float64(-0.52)]"
0,84329,State DE,DE,1,"[np.float64(-0.9705982600888688), np.float64(0.0897750389082461)]"
0,84330,State DN,DN,0,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84331,State CB,CB,1,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84332,State GH,GH,0,"[np.float64(0.02752692589374638), np.float64(-0.9724730741062536)]"
0,84333,State CB,CB,0,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84334,State CH,CH,0,"[np.float64(0.029401739911131153), np.float64(-0.9724730741062536)]"
0,84335,State AE,AE,1,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84336,State BF,BF,0,"[np.float64(0.28546205312666184), np.float64(-0.9102249610917539)]"
0,84337,State CE,CE,1,"[np.float64(0.029401739911131153), np.float64(0.0897750389082461)]"
0,84338,State CG,CG,1,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84339,State CF,CF,0,"[np.float64(0.029401739911131153), np.float64(-0.9102249610917539)]"
0,84340,State HN,HN,1,"[np.float64(-0.9724730741062536), np.float64(-0.52)]"
