block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,14,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.025686329287121556), np.float64(0.025686329287121556)]",0,0,[-0.82076056  0.17923944],[np.float64(0.9743136707128784)],14,0.025686329287121556,-0.8207605646585086,0.1792394353414914
0,15,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.033312100861723884), np.float64(0.033312100861723884)]",0,1,[ 0.57556169 -0.42443831],[np.float64(-0.033312100861723884)],15,0.033312100861723884,0.5755616942324384,-0.42443830576756153
0,15,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.05013309857215947), np.float64(-0.9498669014278406)]",0,1,[ 0.42148664 -0.57851336],[np.float64(-0.05013309857215947)],15,-0.4498669014278406,0.4214866424272387,-0.5785133575727612
0,16,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.01698917143947918), np.float64(0.01698917143947918)]",0,1,[ 0.60147752 -0.39852248],[np.float64(-0.01698917143947918)],16,0.01698917143947918,0.60147752431408,-0.39852247568591986
0,15,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.05150909247818991), np.float64(-0.9484909075218101)]",0,1,[ 0.54181761 -0.45818239],[np.float64(0.9484909075218101)],15,-0.4484909075218101,0.5418176110352557,-0.4581823889647443
0,16,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.02556788027180133), np.float64(-0.9744321197281987)]",0,1,[ 0.26035635 -0.73964365],[np.float64(-0.02556788027180133)],16,-0.47443211972819865,0.2603563507837797,-0.7396436492162203
0,15,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",1,"[np.float64(0.013100027936431946), np.float64(-0.986899972063568)]",0,0,[-0.80057082  0.19942918],[np.float64(0.986899972063568)],15,-0.48689997206356805,-0.8005708165951704,0.19942918340482946
0,16,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.49668101424758027), np.float64(-0.5033189857524197)]",0,1,[-0.57669845 -0.42330155],[np.float64(0.5033189857524197)],16,-0.003318985752419734,-0.576698454486725,-0.4233015455132751
0,16,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.02626963716387687), np.float64(-0.9737303628361231)]",0,1,[ 0.32891015 -0.67108985],[np.float64(0.9737303628361231)],16,-0.47373036283612313,0.328910145102488,-0.671089854897512
0,17,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.2533073172662659), np.float64(-0.7466926827337341)]",0,1,[-0.18521362 -0.81478638],[np.float64(0.7466926827337341)],17,-0.24669268273373413,-0.1852136241201483,-0.8147863758798517
0,17,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.013397514953577216), np.float64(-0.9866024850464228)]",0,1,[ 0.19749119 -0.80250881],[np.float64(0.9866024850464228)],17,-0.4866024850464228,0.19749118532560417,-0.8025088146743958
0,18,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.12918673180579554), np.float64(-0.8708132681942045)]",0,1,[ 0.01060711 -0.98939289],[np.float64(0.8708132681942045)],18,-0.37081326819420446,0.010607108019222525,-0.9893928919807775
0,18,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.006832732626324334), np.float64(-0.9931672673736757)]",0,1,[ 0.11753883 -0.88246117],[np.float64(0.9931672673736757)],18,-0.49316726737367567,0.11753882913814129,-0.8824611708618587
0,17,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]",0,"[np.float64(-0.9869603810613813), np.float64(0.013039618938618679)]",0,1,[ 0.15845986 -0.84154014],[np.float64(-0.013039618938618679)],17,-0.4869603810613813,0.15845985680540625,-0.8415401431945938
0,18,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]",1,"[np.float64(-0.5033497943413046), np.float64(0.4966502056586955)]",0,0,[-0.42763295 -0.57236705],[np.float64(-0.4966502056586955)],18,-0.0033497943413045295,-0.427632951439243,-0.5723670485607569
0,17,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.008664477434134382), np.float64(-0.9913355225658657)]",0,1,[ 0.61469011 -0.38530989],[np.float64(-0.008664477434134382)],17,-0.49133552256586566,0.6146901082386482,-0.3853098917613517
0,18,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.004418883491408535), np.float64(-0.9955811165085915)]",0,1,[ 0.35111537 -0.64888463],[np.float64(-0.004418883491408535)],18,-0.4955811165085915,0.35111536767684415,-0.6488846323231559
0,19,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.9977463694193817), np.float64(-0.9977463694193817)]",0,1,[ 0.20033253 -0.79966747],[np.float64(-0.002253630580618353)],19,-0.9977463694193817,0.20033253147612107,-0.7996674685238789
0,19,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[np.float64(-0.7467083951140653), np.float64(-0.7467083951140653)]",0,0,[-0.81912305 -0.18087695],[np.float64(-0.2532916048859347)],19,-0.7467083951140653,-0.8191230493167391,-0.180876950683261
0,19,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.06588523322095574), np.float64(-0.9341147667790443)]",0,1,[ 0.06355955 -0.93644045],[np.float64(0.9341147667790443)],19,-0.43411476677904426,0.06355955092238806,-0.9364404490776119
0,20,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.5088506484038846), np.float64(-0.5088506484038846)]",0,1,[-0.27269777 -0.72730223],[np.float64(-0.49114935159611534)],20,-0.5088506484038846,-0.2726977662899526,-0.7273022337100473
0,19,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.9965153063605746), np.float64(-0.9965153063605746)]",0,1,[ 0.06945039 -0.93054961],[np.float64(0.9965153063605746)],19,-0.9965153063605746,0.06945039389462826,-0.9305496061053717
0,20,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[np.float64(-0.3808212815081733), np.float64(-0.3808212815081733)]",0,0,[-0.64396092 -0.35603908],[np.float64(-0.6191787184918267)],20,-0.3808212815081733,-0.6439609174202278,-0.35603908257977224
0,20,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.03360146894268745), np.float64(-0.9663985310573125)]",0,1,[ 0.06526717 -0.93473283],[np.float64(0.9663985310573125)],20,-0.46639853105731255,0.06526716515197115,-0.9347328348480289
0,20,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.508222806243893), np.float64(-0.508222806243893)]",0,1,[-0.29714272 -0.70285728],[np.float64(0.508222806243893)],20,-0.508222806243893,-0.29714271872682146,-0.7028572812731786
0,21,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[np.float64(0.7408063688156146), np.float64(-0.25919363118438543)]",0,0,[-0.3896854 -0.6103146],[np.float64(0.25919363118438543)],21,0.24080636881561457,-0.389685402173477,-0.610314597826523
