block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,7230,State AH,AH,"[np.float64(0.7208940821197858), np.float64(-0.6762058507907591)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9835363336033901)]"
0,7231,State GF,GF,"[np.float64(-0.1127463710714964), np.float64(-0.8180914945321489)]",0,"[np.float64(0.01646366639660984), np.float64(-0.9929990734108538)]"
0,7232,State AH,AH,"[np.float64(0.7208940821197858), np.float64(-0.6762058507907591)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9835363336033901)]"
0,7233,State HN,HN,"[np.float64(-0.6762058507907591), np.float64(-0.41)]",1,"[np.float64(-0.9835363336033901), np.float64(-0.41)]"
0,7234,State AG,AG,"[np.float64(0.7208940821197858), np.float64(-0.1127463710714964)]",0,"[np.float64(0.18353753190175304), np.float64(0.01646366639660984)]"
0,7235,State FN,FN,"[np.float64(-0.8180914945321489), np.float64(-0.41)]",1,"[np.float64(-0.9929990734108538), np.float64(-0.41)]"
0,7236,State HN,HN,"[np.float64(-0.6762058507907591), np.float64(-0.41)]",1,"[np.float64(-0.9835363336033901), np.float64(-0.41)]"
0,7237,State GN,GN,"[np.float64(-0.1127463710714964), np.float64(-0.41)]",0,"[np.float64(0.01646366639660984), np.float64(-0.41)]"
0,7238,State GN,GN,"[np.float64(-0.1127463710714964), np.float64(-0.41)]",0,"[np.float64(0.01646366639660984), np.float64(-0.41)]"
0,7239,State BN,BN,"[np.float64(0.5524065672864904), np.float64(-0.41)]",0,"[np.float64(-0.816462468098247), np.float64(-0.41)]"
0,7240,State CH,CH,"[np.float64(0.7670145339926397), np.float64(-0.6762058507907591)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9835363336033901)]"
0,7241,State BG,BG,"[np.float64(0.5524065672864904), np.float64(-0.1127463710714964)]",0,"[np.float64(-0.816462468098247), np.float64(0.01646366639660984)]"
0,7242,State AD,AD,"[np.float64(0.7208940821197858), np.float64(0.0008823476819844198)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9372853842942364)]"
0,7243,State AD,AD,"[np.float64(0.7208940821197858), np.float64(0.0008823476819844198)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9372853842942364)]"
0,7244,State DH,DH,"[np.float64(0.0008823476819844198), np.float64(-0.6762058507907591)]",0,"[np.float64(-0.9372853842942364), np.float64(-0.9835363336033901)]"
0,7245,State AB,AB,"[np.float64(0.7208940821197858), np.float64(0.5524065672864904)]",0,"[np.float64(0.18353753190175304), np.float64(-0.816462468098247)]"
0,7246,State DG,DG,"[np.float64(0.0008823476819844198), np.float64(-0.1127463710714964)]",1,"[np.float64(-0.9372853842942364), np.float64(0.01646366639660984)]"
0,7247,State AD,AD,"[np.float64(0.7208940821197858), np.float64(0.0008823476819844198)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9372853842942364)]"
0,7248,State HN,HN,"[np.float64(-0.6762058507907591), np.float64(-0.41)]",1,"[np.float64(-0.9835363336033901), np.float64(-0.41)]"
0,7249,State CF,CF,"[np.float64(0.7670145339926397), np.float64(-0.8180914945321489)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9929990734108538)]"
0,7250,State CF,CF,"[np.float64(0.7670145339926397), np.float64(-0.8180914945321489)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9929990734108538)]"
0,7251,State AF,AF,"[np.float64(0.7208940821197858), np.float64(-0.8180914945321489)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9929990734108538)]"
0,7252,State CB,CB,"[np.float64(0.7670145339926397), np.float64(0.5524065672864904)]",0,"[np.float64(0.06271461570576368), np.float64(-0.816462468098247)]"
0,7253,State CB,CB,"[np.float64(0.7670145339926397), np.float64(0.5524065672864904)]",0,"[np.float64(0.06271461570576368), np.float64(-0.816462468098247)]"
