block_number,trial_number,state_id,stim_id,action,w_values
0,32002,State AN,AN,0,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,32003,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32004,State DH,DH,1,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,32005,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,32006,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32007,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,32008,State CG,CG,0,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,32009,State AH,AH,1,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32010,State CN,CN,1,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32011,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32012,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32013,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,32014,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,32015,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32016,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32017,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32018,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32019,State CG,CG,1,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,32020,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32021,State EN,EN,1,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,32022,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,32023,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32024,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,32025,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32026,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32027,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32028,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32029,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,32030,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,32031,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32032,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32033,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32034,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32035,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32036,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32037,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,32038,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32039,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32040,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,32041,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32042,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32043,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32044,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32045,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32046,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32047,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32048,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32049,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,32050,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,32051,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32052,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32053,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32054,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32055,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32056,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32057,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32058,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32059,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,32060,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32061,State DF,DF,0,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,32062,State AE,AE,0,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32063,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32064,State AN,AN,1,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
